time(microsec),distance(cm),time(sec),distance(m),velocity(m/s)
70071,1191,0.070071,11.91,169.9704585
70072,1191,0.070072,11.91,169.9680329
70072,1191,0.070072,11.91,169.9680329
70063,1191,0.070063,11.91,169.9898663
70067,1191,0.070067,11.91,169.9801618
70072,1191,0.070072,11.91,169.9680329
70066,1191,0.070066,11.91,169.9825878
70071,1191,0.070071,11.91,169.9704585
70063,1191,0.070063,11.91,169.9898663
70069,1191,0.070069,11.91,169.9753101
70065,1191,0.070065,11.91,169.9850139
70071,1191,0.070071,11.91,169.9704585
70073,1191,0.070073,11.91,169.9656073
70071,1191,0.070071,11.91,169.9704585
70060,1191,0.07006,11.91,169.9971453
70072,1191,0.070072,11.91,169.9680329
70070,1191,0.07007,11.91,169.9728843
70069,1191,0.070069,11.91,169.9753101
70067,1191,0.070067,11.91,169.9801618
70073,1191,0.070073,11.91,169.9656073
70059,1191,0.070059,11.91,169.9995718
70069,1191,0.070069,11.91,169.9753101
70069,1191,0.070069,11.91,169.9753101
70081,1191,0.070081,11.91,169.9462051
70065,1191,0.070065,11.91,169.9850139
70069,1191,0.070069,11.91,169.9753101
70066,1191,0.070066,11.91,169.9825878
70070,1191,0.07007,11.91,169.9728843
70072,1191,0.070072,11.91,169.9680329
70076,1191,0.070076,11.91,169.958331
70069,1191,0.070069,11.91,169.9753101
70068,1191,0.070068,11.91,169.9777359
70063,1191,0.070063,11.91,169.9898663
70067,1191,0.070067,11.91,169.9801618
70072,1191,0.070072,11.91,169.9680329
70066,1191,0.070066,11.91,169.9825878
70075,1191,0.070075,11.91,169.9607563
70070,1191,0.07007,11.91,169.9728843
70071,1191,0.070071,11.91,169.9704585
70072,1191,0.070072,11.91,169.9680329
70081,1191,0.070081,11.91,169.9462051
70071,1191,0.070071,11.91,169.9704585
70073,1191,0.070073,11.91,169.9656073
70073,1191,0.070073,11.91,169.9656073
70076,1191,0.070076,11.91,169.958331
70079,1191,0.070079,11.91,169.9510552
70074,1191,0.070074,11.91,169.9631818
70062,1191,0.070062,11.91,169.9922925
70075,1191,0.070075,11.91,169.9607563
436,7,0.000436,0.07,160.5504587
464,7,0.000464,0.07,150.862069
517,8,0.000517,0.08,154.7388781
587,9,0.000587,0.09,153.3219761
875,14,0.000875,0.14,160
1242,21,0.001242,0.21,169.0821256
584,9,0.000584,0.09,154.109589
625,10,0.000625,0.1,160
1414,24,0.001414,0.24,169.7312588
1518,25,0.001518,0.25,164.6903821
801,13,0.000801,0.13,162.2971286
567,9,0.000567,0.09,158.7301587
929,15,0.000929,0.15,161.4639397
1102,18,0.001102,0.18,163.3393829
506,8,0.000506,0.08,158.1027668
516,8,0.000516,0.08,155.0387597
752,12,0.000752,0.12,159.5744681
5513,93,0.005513,0.93,168.6921821
997,16,0.000997,0.16,160.4814443
658,11,0.000658,0.11,167.1732523
458,7,0.000458,0.07,152.8384279
580,9,0.00058,0.09,155.1724138
825,14,0.000825,0.14,169.6969697
1193,20,0.001193,0.2,167.6445935
1053,17,0.001053,0.17,161.4434948
930,15,0.00093,0.15,161.2903226
759,12,0.000759,0.12,158.1027668
1116,18,0.001116,0.18,161.2903226
1095,18,0.001095,0.18,164.3835616
521,8,0.000521,0.08,153.5508637
710,12,0.00071,0.12,169.0140845
426,7,0.000426,0.07,164.3192488
401,6,0.000401,0.06,149.6259352
969,16,0.000969,0.16,165.1186791
1120,19,0.00112,0.19,169.6428571
861,14,0.000861,0.14,162.601626
531,9,0.000531,0.09,169.4915254
1091,18,0.001091,0.18,164.9862511
1319,22,0.001319,0.22,166.793025
1277,21,0.001277,0.21,164.4479248
1050,17,0.00105,0.17,161.9047619
553,9,0.000553,0.09,162.7486438
381,6,0.000381,0.06,157.480315
392,6,0.000392,0.06,153.0612245
378,6,0.000378,0.06,158.7301587
385,6,0.000385,0.06,155.8441558
357,6,0.000357,0.06,168.0672269
388,6,0.000388,0.06,154.6391753
427,7,0.000427,0.07,163.9344262
523,8,0.000523,0.08,152.9636711
874,14,0.000874,0.14,160.1830664
700,11,0.0007,0.11,157.1428571
754,12,0.000754,0.12,159.1511936
840,14,0.00084,0.14,166.6666667
783,13,0.000783,0.13,166.0280971
731,12,0.000731,0.12,164.1586867
749,12,0.000749,0.12,160.2136182
579,9,0.000579,0.09,155.4404145
391,6,0.000391,0.06,153.4526854
412,7,0.000412,0.07,169.9029126
527,8,0.000527,0.08,151.8026565
850,14,0.00085,0.14,164.7058824
699,11,0.000699,0.11,157.3676681
387,6,0.000387,0.06,155.0387597
559,9,0.000559,0.09,161.0017889
755,12,0.000755,0.12,158.9403974
706,12,0.000706,0.12,169.9716714
735,12,0.000735,0.12,163.2653061
797,13,0.000797,0.13,163.1116688
688,11,0.000688,0.11,159.8837209
682,11,0.000682,0.11,161.2903226
682,11,0.000682,0.11,161.2903226
713,12,0.000713,0.12,168.3029453
735,12,0.000735,0.12,163.2653061
759,12,0.000759,0.12,158.1027668
756,12,0.000756,0.12,158.7301587
756,12,0.000756,0.12,158.7301587
762,12,0.000762,0.12,157.480315
755,12,0.000755,0.12,158.9403974
759,12,0.000759,0.12,158.1027668
706,12,0.000706,0.12,169.9716714
699,11,0.000699,0.11,157.3676681
700,11,0.0007,0.11,157.1428571
742,12,0.000742,0.12,161.7250674
658,11,0.000658,0.11,167.1732523
630,10,0.00063,0.1,158.7301587
660,11,0.00066,0.11,166.6666667
601,10,0.000601,0.1,166.3893511
602,10,0.000602,0.1,166.1129568
608,10,0.000608,0.1,164.4736842
608,10,0.000608,0.1,164.4736842
602,10,0.000602,0.1,166.1129568
619,10,0.000619,0.1,161.5508885
741,12,0.000741,0.12,161.9433198
579,9,0.000579,0.09,155.4404145
808,13,0.000808,0.13,160.8910891
622,10,0.000622,0.1,160.7717042
685,11,0.000685,0.11,160.5839416
556,9,0.000556,0.09,161.8705036
455,7,0.000455,0.07,153.8461538
332,5,0.000332,0.05,150.6024096
657,11,0.000657,0.11,167.4277017
793,13,0.000793,0.13,163.9344262
500,8,0.0005,0.08,160
483,8,0.000483,0.08,165.63147
535,9,0.000535,0.09,168.2242991
594,10,0.000594,0.1,168.3501684
563,9,0.000563,0.09,159.8579041
591,10,0.000591,0.1,169.2047377
566,9,0.000566,0.09,159.0106007
583,9,0.000583,0.09,154.373928
549,9,0.000549,0.09,163.9344262
549,9,0.000549,0.09,163.9344262
580,9,0.00058,0.09,155.1724138
580,9,0.00058,0.09,155.1724138
549,9,0.000549,0.09,163.9344262
566,9,0.000566,0.09,159.0106007
552,9,0.000552,0.09,163.0434783
801,13,0.000801,0.13,162.2971286
731,12,0.000731,0.12,164.1586867
363,6,0.000363,0.06,165.2892562
562,9,0.000562,0.09,160.1423488
503,8,0.000503,0.08,159.0457256
518,8,0.000518,0.08,154.4401544
409,6,0.000409,0.06,146.6992665
468,7,0.000468,0.07,149.5726496
503,8,0.000503,0.08,159.0457256
492,8,0.000492,0.08,162.601626
517,8,0.000517,0.08,154.7388781
465,7,0.000465,0.07,150.5376344
493,8,0.000493,0.08,162.2718053
475,8,0.000475,0.08,168.4210526
499,8,0.000499,0.08,160.3206413
471,8,0.000471,0.08,169.85138
468,7,0.000468,0.07,149.5726496
504,8,0.000504,0.08,158.7301587
556,9,0.000556,0.09,161.8705036
987,16,0.000987,0.16,162.1073961
773,13,0.000773,0.13,168.1759379
576,9,0.000576,0.09,156.25
479,8,0.000479,0.08,167.0146138
455,7,0.000455,0.07,153.8461538
531,9,0.000531,0.09,169.4915254
611,10,0.000611,0.1,163.6661211
584,9,0.000584,0.09,154.109589
608,10,0.000608,0.1,164.4736842
574,9,0.000574,0.09,156.7944251
622,10,0.000622,0.1,160.7717042
1021,17,0.001021,0.17,166.503428
1001,17,0.001001,0.17,169.8301698
836,14,0.000836,0.14,167.4641148
503,8,0.000503,0.08,159.0457256
556,9,0.000556,0.09,161.8705036
619,10,0.000619,0.1,161.5508885
713,12,0.000713,0.12,168.3029453
633,10,0.000633,0.1,157.9778831
609,10,0.000609,0.1,164.2036125
587,9,0.000587,0.09,153.3219761
482,8,0.000482,0.08,165.9751037
497,8,0.000497,0.08,160.9657948
602,10,0.000602,0.1,166.1129568
636,10,0.000636,0.1,157.2327044
605,10,0.000605,0.1,165.2892562
633,10,0.000633,0.1,157.9778831
643,10,0.000643,0.1,155.5209953
646,10,0.000646,0.1,154.7987616
619,10,0.000619,0.1,161.5508885
647,10,0.000647,0.1,154.5595054
695,11,0.000695,0.11,158.2733813
1053,17,0.001053,0.17,161.4434948
731,12,0.000731,0.12,164.1586867
745,12,0.000745,0.12,161.0738255
881,14,0.000881,0.14,158.9103292
854,14,0.000854,0.14,163.9344262
976,16,0.000976,0.16,163.9344262
961,16,0.000961,0.16,166.4932362
1043,17,0.001043,0.17,162.991371
513,8,0.000513,0.08,155.9454191
496,8,0.000496,0.08,161.2903226
489,8,0.000489,0.08,163.599182
549,9,0.000549,0.09,163.9344262
531,9,0.000531,0.09,169.4915254
566,9,0.000566,0.09,159.0106007
1432,24,0.001432,0.24,167.5977654
1021,17,0.001021,0.17,166.503428
531,9,0.000531,0.09,169.4915254
430,7,0.00043,0.07,162.7906977
447,7,0.000447,0.07,156.5995526
444,7,0.000444,0.07,157.6576577
454,7,0.000454,0.07,154.185022
492,8,0.000492,0.08,162.601626
846,14,0.000846,0.14,165.4846336
1050,17,0.00105,0.17,161.9047619
1466,24,0.001466,0.24,163.7107776
430,7,0.00043,0.07,162.7906977
389,6,0.000389,0.06,154.2416452
360,6,0.00036,0.06,166.6666667
335,5,0.000335,0.05,149.2537313
363,6,0.000363,0.06,165.2892562
366,6,0.000366,0.06,163.9344262
398,6,0.000398,0.06,150.7537688
366,6,0.000366,0.06,163.9344262
359,6,0.000359,0.06,167.1309192
425,7,0.000425,0.07,164.7058824
324,5,0.000324,0.05,154.3209877
261,4,0.000261,0.04,153.256705
321,5,0.000321,0.05,155.7632399
328,5,0.000328,0.05,152.4390244
324,5,0.000324,0.05,154.3209877
352,5,0.000352,0.05,142.0454545
352,5,0.000352,0.05,142.0454545
352,5,0.000352,0.05,142.0454545
352,5,0.000352,0.05,142.0454545
352,5,0.000352,0.05,142.0454545
352,5,0.000352,0.05,142.0454545
353,6,0.000353,0.06,169.9716714
352,5,0.000352,0.05,142.0454545
352,5,0.000352,0.05,142.0454545
352,5,0.000352,0.05,142.0454545
352,5,0.000352,0.05,142.0454545
212,3,0.000212,0.03,141.509434
856,14,0.000856,0.14,163.5514019
1333,22,0.001333,0.22,165.0412603
1155,19,0.001155,0.19,164.5021645
822,13,0.000822,0.13,158.1508516
454,7,0.000454,0.07,154.185022
462,7,0.000462,0.07,151.5151515
525,8,0.000525,0.08,152.3809524
934,15,0.000934,0.15,160.5995717
1394,23,0.001394,0.23,164.9928264
70124,1192,0.070124,11.92,169.9845987
625,10,0.000625,0.1,160
574,9,0.000574,0.09,156.7944251
794,13,0.000794,0.13,163.7279597
1242,21,0.001242,0.21,169.0821256
6038,102,0.006038,1.02,168.9301093
448,7,0.000448,0.07,156.25
1337,22,0.001337,0.22,164.5474944
1320,22,0.00132,0.22,166.6666667
990,16,0.00099,0.16,161.6161616
601,10,0.000601,0.1,166.3893511
468,7,0.000468,0.07,149.5726496
493,8,0.000493,0.08,162.2718053
619,10,0.000619,0.1,161.5508885
681,11,0.000681,0.11,161.5271659
731,12,0.000731,0.12,164.1586867
675,11,0.000675,0.11,162.962963
807,13,0.000807,0.13,161.0904585
878,14,0.000878,0.14,159.453303
804,13,0.000804,0.13,161.6915423
773,13,0.000773,0.13,168.1759379
693,11,0.000693,0.11,158.7301587
720,12,0.00072,0.12,166.6666667
577,9,0.000577,0.09,155.9792028
1481,25,0.001481,0.25,168.8048616
1081,18,0.001081,0.18,166.5124884
70133,1192,0.070133,11.92,169.962785
1021,17,0.001021,0.17,166.503428
595,10,0.000595,0.1,168.0672269
779,13,0.000779,0.13,166.8806162
713,12,0.000713,0.12,168.3029453
570,9,0.00057,0.09,157.8947368
506,8,0.000506,0.08,158.1027668
664,11,0.000664,0.11,165.6626506
759,12,0.000759,0.12,158.1027668
567,9,0.000567,0.09,158.7301587
776,13,0.000776,0.13,167.5257732
742,12,0.000742,0.12,161.7250674
1015,17,0.001015,0.17,167.4876847
903,15,0.000903,0.15,166.1129568
926,15,0.000926,0.15,161.987041
846,14,0.000846,0.14,165.4846336
723,12,0.000723,0.12,165.9751037
637,10,0.000637,0.1,156.9858713
693,11,0.000693,0.11,158.7301587
576,9,0.000576,0.09,156.25
1046,17,0.001046,0.17,162.5239006
952,16,0.000952,0.16,168.0672269
798,13,0.000798,0.13,162.9072682
885,15,0.000885,0.15,169.4915254
938,15,0.000938,0.15,159.9147122
534,9,0.000534,0.09,168.5393258
608,10,0.000608,0.1,164.4736842
591,10,0.000591,0.1,169.2047377
521,8,0.000521,0.08,153.5508637
598,10,0.000598,0.1,167.2240803
730,12,0.00073,0.12,164.3835616
741,12,0.000741,0.12,161.9433198
511,8,0.000511,0.08,156.555773
509,8,0.000509,0.08,157.1709234
534,9,0.000534,0.09,168.5393258
665,11,0.000665,0.11,165.4135338
402,6,0.000402,0.06,149.2537313
476,8,0.000476,0.08,168.0672269
483,8,0.000483,0.08,165.63147
489,8,0.000489,0.08,163.599182
562,9,0.000562,0.09,160.1423488
1102,18,0.001102,0.18,163.3393829
927,15,0.000927,0.15,161.8122977
412,7,0.000412,0.07,169.9029126
342,5,0.000342,0.05,146.1988304
241,4,0.000241,0.04,165.9751037
203,3,0.000203,0.03,147.7832512
231,3,0.000231,0.03,129.8701299
222,3,0.000222,0.03,135.1351351
268,4,0.000268,0.04,149.2537313
233,3,0.000233,0.03,128.7553648
233,3,0.000233,0.03,128.7553648
233,3,0.000233,0.03,128.7553648
233,3,0.000233,0.03,128.7553648
233,3,0.000233,0.03,128.7553648
234,3,0.000234,0.03,128.2051282
233,3,0.000233,0.03,128.7553648
233,3,0.000233,0.03,128.7553648
227,3,0.000227,0.03,132.1585903
227,3,0.000227,0.03,132.1585903
227,3,0.000227,0.03,132.1585903
233,3,0.000233,0.03,128.7553648
233,3,0.000233,0.03,128.7553648
233,3,0.000233,0.03,128.7553648
233,3,0.000233,0.03,128.7553648
233,3,0.000233,0.03,128.7553648
233,3,0.000233,0.03,128.7553648
233,3,0.000233,0.03,128.7553648
233,3,0.000233,0.03,128.7553648
233,3,0.000233,0.03,128.7553648
233,3,0.000233,0.03,128.7553648
233,3,0.000233,0.03,128.7553648
227,3,0.000227,0.03,132.1585903
227,3,0.000227,0.03,132.1585903
227,3,0.000227,0.03,132.1585903
233,3,0.000233,0.03,128.7553648
233,3,0.000233,0.03,128.7553648
233,3,0.000233,0.03,128.7553648
233,3,0.000233,0.03,128.7553648
233,3,0.000233,0.03,128.7553648
233,3,0.000233,0.03,128.7553648
233,3,0.000233,0.03,128.7553648
233,3,0.000233,0.03,128.7553648
233,3,0.000233,0.03,128.7553648
299,5,0.000299,0.05,167.2240803
287,4,0.000287,0.04,139.3728223
392,6,0.000392,0.06,153.0612245
398,6,0.000398,0.06,150.7537688
440,7,0.00044,0.07,159.0909091
450,7,0.00045,0.07,155.5555556
412,7,0.000412,0.07,169.9029126
398,6,0.000398,0.06,150.7537688
